time_s,h_plus,h_cross,amplitude,frequency_Hz
4.6600932019e-03,-2.1880463667e-22,-2.6729060870e-22,3.4542689317e-22,30.443603
4.6800936019e-03,-2.1778978439e-22,-2.6813722405e-22,3.4544168988e-22,30.445560
4.7000940019e-03,-2.1677159249e-22,-2.6898004203e-22,3.4545648977e-22,30.447516
4.7200944019e-03,-2.1575007492e-22,-2.6981904924e-22,3.4547129282e-22,30.449473
4.7400948019e-03,-2.1472524571e-22,-2.7065423235e-22,3.4548609905e-22,30.451431
4.7600952019e-03,-2.1369711894e-22,-2.7148557806e-22,3.4550090845e-22,30.453389
4.7800956019e-03,-2.1266570873e-22,-2.7231307314e-22,3.4551572102e-22,30.455347
4.8000960019e-03,-2.1163102927e-22,-2.7313670440e-22,3.4553053677e-22,30.457306
4.8200964019e-03,-2.1059309479e-22,-2.7395645871e-22,3.4554535570e-22,30.459266
4.8400968019e-03,-2.0955191959e-22,-2.7477232299e-22,3.4556017780e-22,30.461225
4.8600972019e-03,-2.0850751800e-22,-2.7558428420e-22,3.4557500309e-22,30.463186
4.8800976020e-03,-2.0745990443e-22,-2.7639232935e-22,3.4558983156e-22,30.465146
4.9000980020e-03,-2.0640909333e-22,-2.7719644554e-22,3.4560466320e-22,30.467108
4.9200984020e-03,-2.0535509919e-22,-2.7799661987e-22,3.4561949803e-22,30.469069
4.9400988020e-03,-2.0429793658e-22,-2.7879283952e-22,3.4563433605e-22,30.471031
4.9600992020e-03,-2.0323762009e-22,-2.7958509173e-22,3.4564917725e-22,30.472994
4.9800996020e-03,-2.0217416439e-22,-2.8037336377e-22,3.4566402164e-22,30.474957
5.0001000020e-03,-2.0110758419e-22,-2.8115764298e-22,3.4567886921e-22,30.476921
5.0201004020e-03,-2.0003789425e-22,-2.8193791675e-22,3.4569371998e-22,30.478885
5.0401008020e-03,-1.9896510938e-22,-2.8271417251e-22,3.4570857394e-22,30.480849
5.0601012020e-03,-1.9788924446e-22,-2.8348639778e-22,3.4572343108e-22,30.482814
5.0801016020e-03,-1.9681031440e-22,-2.8425458009e-22,3.4573829142e-22,30.484780
5.1001020020e-03,-1.9572833417e-22,-2.8501870705e-22,3.4575315496e-22,30.486745
5.1201024020e-03,-1.9464331878e-22,-2.8577876632e-22,3.4576802169e-22,30.488712
5.1401028021e-03,-1.9355528331e-22,-2.8653474561e-22,3.4578289162e-22,30.490679
5.1601032021e-03,-1.9246424287e-22,-2.8728663268e-22,3.4579776474e-22,30.492646
